epoch,mean_test_accuracy,std_test_accuracy,n_runs,Delta accuracy
1,0.216597,0,4,0.216597
2,0.216597,0,4,0
3,0.232547,0.0319,4,0.01595
4,0.216597,0,4,-0.01595
5,0.216597,0,4,0
6,0.232547,0.0319,4,0.01595
7,0.248497,0.036835,4,0.01595
8,0.248209,0.036505,4,-0.000288
9,0.21654,0.000116,4,-0.031669
10,0.248555,0.036902,4,0.032015
11,0.23954,0.030634,4,-0.009015
12,0.275023,0.022484,4,0.035483
13,0.306172,0.07835,4,0.031149
14,0.295539,0.057819,4,-0.010633
15,0.284732,0.037798,4,-0.010807
16,0.288257,0.044164,4,0.003525
17,0.292707,0.049465,4,0.00445
18,0.289702,0.044904,4,-0.003005
19,0.291782,0.048973,4,0.00208
20,0.304901,0.043767,4,0.013119
,,,,
,,,,1.524505
