epoch,mean_test_accuracy,std_test_accuracy,n_runs,Delta accuracy
1,0.251503,0.011769,2,0.251503
2,0.259824,0,2,0.008321
3,0.270111,0.014548,2,0.010287
4,0.251503,0.011769,2,-0.018608
5,0.251503,0.011769,2,0
6,0.270111,0.014548,2,0.018608
7,0.270111,0.014548,2,0
8,0.270111,0.014548,2,0
9,0.270111,0.014548,2,0
10,0.270111,0.014548,2,0
11,0.243181,0,2,-0.02693
12,0.261789,0.026316,2,0.018608
13,0.280398,0,2,0.018609
14,0.261789,0.026316,2,-0.018609
15,0.280398,0,2,0.018609
16,0.280398,0,2,0
17,0.280398,0,2,0
18,0.280398,0,2,0
19,0.280398,0,2,0
20,0.280398,0,2,0
,,,,
,,,,1.40199
