3M,6M,12M,24M
82134774,80014837,78552161,92081965
82241096,80566139,79261749,93368423
83623750,80586959,79742065,94399640
84352636,81274355,79778957,95740777
84425932,81477415,80014837,95774215
84933542,82134774,80306672,97131221
85539019,82220356,80566139,97137847
85784479,82241096,80586959,97360188
85926465,82416234,81274355,97735991
86087049,83623750,81477415,97789056
86553440,83847544,82134774,98117712
86973716,84352636,82220356,98300138
87091749,84425932,82241096,98904731
87615223,84933542,82416234,99135497
88659099,85588044,83623750,99527898
88964748,85821768,83847544,
89654844,85926465,84352636,
90580532,86087049,84425932,
90972406,86553440,84933542,
91059743,86973716,85539019,
91724418,87091749,85588044,
91860292,87594279,85784479,
92081965,87615223,85821768,
93368423,88659099,85926465,
94399640,89184357,86087049,
95283342,89654844,86973716,
95740777,90292551,87594279,
95774215,90580532,87615223,
96672854,90972406,88659099,
96928021,91059743,89184357,
97018029,91724418,89654844,
97131221,91801361,90292551,
97213684,91860292,90306706,
97735991,92081965,90580532,
97773091,92934454,90972406,
98117712,93744287,91059743,
98498849,95740777,91724418,
98904731,95774215,91801361,
99135497,96672854,91860292,
99527898,96928021,92081965,
35066412,97018029,92934454,
3519762,97131221,93368423,
62910762,97137847,93744287,
88879029,97213684,94399640,
,97735991,95740777,
,97789056,95774215,
,98117712,96928021,
,98300138,97018029,
,98904731,97131221,
,99135497,97213684,
,99527898,97360188,
,99799072,97735991,
,,97789056,
,,98117712,
,,98300138,
,,98904731,
,,99135497,
,,99147502,
,,99527898,
,,99799072,
